nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,        pressure,velocity-magnitude,     temperature
         1,-1.975000054E-01,-3.610000014E-01, 0.000000000E+00, 1.303916375E+06, 0.000000000E+00, 8.435542603E+02
         2,-1.866666675E-01,-3.610000014E-01, 0.000000000E+00, 1.301922750E+06, 0.000000000E+00, 8.431551514E+02
         3,-1.758333296E-01,-3.610000014E-01, 0.000000000E+00, 1.301142750E+06, 0.000000000E+00, 8.428201904E+02
         4,-1.650000066E-01,-3.610000014E-01, 0.000000000E+00, 1.301260125E+06, 0.000000000E+00, 8.425762939E+02
         5,-1.540362388E-01,-3.610000014E-01, 0.000000000E+00, 1.301911500E+06, 0.000000000E+00, 8.423623657E+02
         6,-1.431953460E-01,-3.610000014E-01, 0.000000000E+00, 1.302812375E+06, 0.000000000E+00, 8.421479492E+02
         7,-1.324999928E-01,-3.610000014E-01, 0.000000000E+00, 1.303843750E+06, 0.000000000E+00, 8.419166260E+02
         8,-1.223076954E-01,-3.610000014E-01, 0.000000000E+00, 1.304945625E+06, 0.000000000E+00, 8.416755371E+02
         9,-1.121153831E-01,-3.610000014E-01, 0.000000000E+00, 1.306170250E+06, 0.000000000E+00, 8.414292603E+02
        10,-1.019230783E-01,-3.610000014E-01, 0.000000000E+00, 1.307582625E+06, 0.000000000E+00, 8.411736450E+02
        11,-9.173076600E-02,-3.610000014E-01, 0.000000000E+00, 1.309403125E+06, 0.000000000E+00, 8.409209595E+02
        12,-8.153846115E-02,-3.610000014E-01, 0.000000000E+00, 1.312218500E+06, 0.000000000E+00, 8.407121582E+02
        13,-7.134615630E-02,-3.610000014E-01, 0.000000000E+00, 1.316467250E+06, 0.000000000E+00, 8.406606445E+02
        14,-6.115384772E-02,-3.610000014E-01, 0.000000000E+00, 1.322647250E+06, 0.000000000E+00, 8.408184204E+02
        15,-5.096153915E-02,-3.610000014E-01, 0.000000000E+00, 1.331006250E+06, 0.000000000E+00, 8.412123413E+02
        16,-4.076923057E-02,-3.610000014E-01, 0.000000000E+00, 1.340527750E+06, 0.000000000E+00, 8.418024902E+02
        17,-3.057692386E-02,-3.610000014E-01, 0.000000000E+00, 1.349121125E+06, 0.000000000E+00, 8.424215698E+02
        18,-2.038461529E-02,-3.610000014E-01, 0.000000000E+00, 1.355181750E+06, 0.000000000E+00, 8.429611206E+02
        19,-1.019230764E-02,-3.610000014E-01, 0.000000000E+00, 1.358802750E+06, 0.000000000E+00, 8.433521729E+02
        20, 0.000000000E+00,-3.610000014E-01, 0.000000000E+00, 1.360751000E+06, 0.000000000E+00, 8.435862427E+02
        21, 1.019230764E-02,-3.610000014E-01, 0.000000000E+00, 1.361024250E+06, 0.000000000E+00, 8.436718750E+02
        22, 2.038461529E-02,-3.610000014E-01, 0.000000000E+00, 1.359611875E+06, 0.000000000E+00, 8.436442261E+02
        23, 3.057692386E-02,-3.610000014E-01, 0.000000000E+00, 1.356626875E+06, 0.000000000E+00, 8.434388428E+02
        24, 4.076923057E-02,-3.610000014E-01, 0.000000000E+00, 1.352637625E+06, 0.000000000E+00, 8.430794067E+02
        25, 5.096153915E-02,-3.610000014E-01, 0.000000000E+00, 1.347174375E+06, 0.000000000E+00, 8.425636597E+02
        26, 6.115384772E-02,-3.610000014E-01, 0.000000000E+00, 1.340016625E+06, 0.000000000E+00, 8.419317017E+02
        27, 7.134615630E-02,-3.610000014E-01, 0.000000000E+00, 1.331698500E+06, 0.000000000E+00, 8.412532349E+02
        28, 8.153846115E-02,-3.610000014E-01, 0.000000000E+00, 1.323546000E+06, 0.000000000E+00, 8.406455688E+02
        29, 9.173076600E-02,-3.610000014E-01, 0.000000000E+00, 1.316716500E+06, 0.000000000E+00, 8.402499390E+02
        30, 1.019230783E-01,-3.610000014E-01, 0.000000000E+00, 1.311747875E+06, 0.000000000E+00, 8.400565186E+02
        31, 1.121153831E-01,-3.610000014E-01, 0.000000000E+00, 1.308296250E+06, 0.000000000E+00, 8.400366821E+02
        32, 1.223076954E-01,-3.610000014E-01, 0.000000000E+00, 1.305957125E+06, 0.000000000E+00, 8.401788940E+02
        33, 1.324999928E-01,-3.610000014E-01, 0.000000000E+00, 1.304529250E+06, 0.000000000E+00, 8.404013062E+02
        34, 1.433333308E-01,-3.610000014E-01, 0.000000000E+00, 1.303643125E+06, 0.000000000E+00, 8.406710205E+02
