nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,        pressure,velocity-magnitude,     temperature
         1,-1.975000054E-01,-3.610000014E-01, 0.000000000E+00, 1.393875250E+06, 0.000000000E+00, 8.441885376E+02
         2,-1.893749982E-01,-3.610000014E-01, 0.000000000E+00, 1.393217125E+06, 0.000000000E+00, 8.441072388E+02
         3,-1.812500060E-01,-3.610000014E-01, 0.000000000E+00, 1.392540750E+06, 0.000000000E+00, 8.440224609E+02
         4,-1.731249988E-01,-3.610000014E-01, 0.000000000E+00, 1.391961125E+06, 0.000000000E+00, 8.439475708E+02
         5,-1.650000066E-01,-3.610000014E-01, 0.000000000E+00, 1.391482125E+06, 0.000000000E+00, 8.438770752E+02
         6,-1.568749994E-01,-3.610000014E-01, 0.000000000E+00, 1.391086500E+06, 0.000000000E+00, 8.438189697E+02
         7,-1.487500072E-01,-3.610000014E-01, 0.000000000E+00, 1.390909500E+06, 0.000000000E+00, 8.437876587E+02
         8,-1.406250000E-01,-3.610000014E-01, 0.000000000E+00, 1.391103750E+06, 0.000000000E+00, 8.436740112E+02
         9,-1.324999928E-01,-3.610000014E-01, 0.000000000E+00, 1.391345250E+06, 0.000000000E+00, 8.432281494E+02
        10,-1.269280314E-01,-3.610000014E-01, 0.000000000E+00, 1.391095500E+06, 0.000000000E+00, 8.429172974E+02
        11,-1.202611774E-01,-3.610000014E-01, 0.000000000E+00, 1.390377875E+06, 0.000000000E+00, 8.428381348E+02
        12,-1.121492758E-01,-3.610000014E-01, 0.000000000E+00, 1.389517500E+06, 0.000000000E+00, 8.427269287E+02
        13,-1.025979966E-01,-3.610000014E-01, 0.000000000E+00, 1.388602250E+06, 0.000000000E+00, 8.426087646E+02
        14,-9.212610871E-02,-3.610000014E-01, 0.000000000E+00, 1.387656500E+06, 0.000000000E+00, 8.424823608E+02
        15,-8.157759160E-02,-3.610000014E-01, 0.000000000E+00, 1.386704375E+06, 0.000000000E+00, 8.423455200E+02
        16,-7.102907449E-02,-3.610000014E-01, 0.000000000E+00, 1.385814750E+06, 0.000000000E+00, 8.422153931E+02
        17,-6.048056111E-02,-3.610000014E-01, 0.000000000E+00, 1.384975625E+06, 0.000000000E+00, 8.420952759E+02
        18,-4.993204772E-02,-3.610000014E-01, 0.000000000E+00, 1.384214625E+06, 0.000000000E+00, 8.419819336E+02
        19,-3.938353062E-02,-3.610000014E-01, 0.000000000E+00, 1.383544875E+06, 0.000000000E+00, 8.418764038E+02
        20,-2.910966054E-02,-3.610000014E-01, 0.000000000E+00, 1.383006500E+06, 0.000000000E+00, 8.417824097E+02
        21,-1.979929022E-02,-3.610000014E-01, 0.000000000E+00, 1.382656375E+06, 0.000000000E+00, 8.417064819E+02
        22,-1.194502600E-02,-3.610000014E-01, 0.000000000E+00, 1.382478875E+06, 0.000000000E+00, 8.416472778E+02
        23,-5.524156615E-03,-3.610000014E-01, 0.000000000E+00, 1.382480750E+06, 0.000000000E+00, 8.416081543E+02
        24, 0.000000000E+00,-3.610000014E-01, 0.000000000E+00, 1.382461000E+06, 0.000000000E+00, 8.415728149E+02
        25, 5.179422908E-03,-3.610000014E-01, 0.000000000E+00, 1.382499000E+06, 0.000000000E+00, 8.415469971E+02
        26, 1.106035896E-02,-3.610000014E-01, 0.000000000E+00, 1.382680750E+06, 0.000000000E+00, 8.415360718E+02
        27, 1.823478937E-02,-3.610000014E-01, 0.000000000E+00, 1.383150625E+06, 0.000000000E+00, 8.415280762E+02
        28, 2.673502825E-02,-3.610000014E-01, 0.000000000E+00, 1.383919000E+06, 0.000000000E+00, 8.415440674E+02
        29, 3.639002144E-02,-3.610000014E-01, 0.000000000E+00, 1.385005500E+06, 0.000000000E+00, 8.415790405E+02
        30, 4.631911963E-02,-3.610000014E-01, 0.000000000E+00, 1.386386500E+06, 0.000000000E+00, 8.416311646E+02
        31, 5.624821782E-02,-3.610000014E-01, 0.000000000E+00, 1.388104375E+06, 0.000000000E+00, 8.417126465E+02
        32, 6.617731601E-02,-3.610000014E-01, 0.000000000E+00, 1.390111250E+06, 0.000000000E+00, 8.418194580E+02
        33, 7.610641420E-02,-3.610000014E-01, 0.000000000E+00, 1.392317000E+06, 0.000000000E+00, 8.419483643E+02
        34, 8.603551239E-02,-3.610000014E-01, 0.000000000E+00, 1.394581500E+06, 0.000000000E+00, 8.420856323E+02
        35, 9.596461058E-02,-3.610000014E-01, 0.000000000E+00, 1.396789250E+06, 0.000000000E+00, 8.422175903E+02
        36, 1.056682691E-01,-3.610000014E-01, 0.000000000E+00, 1.398833000E+06, 0.000000000E+00, 8.423367310E+02
        37, 1.141809374E-01,-3.610000014E-01, 0.000000000E+00, 1.400511625E+06, 0.000000000E+00, 8.424321289E+02
        38, 1.213696674E-01,-3.610000014E-01, 0.000000000E+00, 1.401739750E+06, 0.000000000E+00, 8.424967041E+02
        39, 1.273209751E-01,-3.610000014E-01, 0.000000000E+00, 1.402611875E+06, 0.000000000E+00, 8.425405273E+02
        40, 1.324999928E-01,-3.610000014E-01, 0.000000000E+00, 1.403324625E+06, 0.000000000E+00, 8.425731812E+02
        41, 1.406250000E-01,-3.610000014E-01, 1.239822246E-20, 1.404122125E+06, 0.000000000E+00, 8.426034546E+02
        42, 1.487500072E-01,-3.610000014E-01, 2.479644492E-20, 1.404797250E+06, 0.000000000E+00, 8.426293945E+02
        43, 1.568749994E-01,-3.610000014E-01, 3.719466738E-20, 1.405369625E+06, 0.000000000E+00, 8.426525269E+02
        44, 1.650000066E-01,-3.610000014E-01, 0.000000000E+00, 1.405876125E+06, 0.000000000E+00, 8.426732178E+02
        45, 1.731249988E-01,-3.610000014E-01, 3.719466738E-20, 1.406350500E+06, 0.000000000E+00, 8.426979980E+02
        46, 1.812500060E-01,-3.610000014E-01, 2.479644492E-20, 1.406853875E+06, 0.000000000E+00, 8.427434692E+02
        47, 1.893749982E-01,-3.610000014E-01, 1.239822246E-20, 1.407434375E+06, 0.000000000E+00, 8.428263550E+02
        48, 1.975000054E-01,-3.610000014E-01, 0.000000000E+00, 1.408023750E+06, 0.000000000E+00, 8.429132690E+02
        49,-2.050600201E-01,-3.605410755E-01, 0.000000000E+00, 1.394413875E+06, 0.000000000E+00, 8.442509155E+02
        50, 2.050599456E-01,-3.605411053E-01, 0.000000000E+00, 1.408436500E+06, 0.000000000E+00, 8.429589233E+02
