nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,        pressure,velocity-magnitude,     temperature
         1,-1.975000054E-01,-3.610000014E-01, 0.000000000E+00, 1.384188875E+06, 0.000000000E+00, 8.409274902E+02
         2,-1.866666675E-01,-3.610000014E-01, 0.000000000E+00, 1.377896500E+06, 0.000000000E+00, 8.400435181E+02
         3,-1.758333296E-01,-3.610000014E-01, 0.000000000E+00, 1.374703750E+06, 0.000000000E+00, 8.393993530E+02
         4,-1.650000066E-01,-3.610000014E-01, 0.000000000E+00, 1.374649000E+06, 0.000000000E+00, 8.390769043E+02
         5,-1.541666687E-01,-3.610000014E-01, 0.000000000E+00, 1.377055875E+06, 0.000000000E+00, 8.390485229E+02
         6,-1.433333308E-01,-3.610000014E-01, 0.000000000E+00, 1.381163000E+06, 0.000000000E+00, 8.392590942E+02
         7,-1.324999928E-01,-3.610000014E-01, 0.000000000E+00, 1.386412625E+06, 0.000000000E+00, 8.396138916E+02
         8,-1.223076954E-01,-3.610000014E-01, 0.000000000E+00, 1.391956625E+06, 0.000000000E+00, 8.400458374E+02
         9,-1.121153831E-01,-3.610000014E-01, 0.000000000E+00, 1.397698375E+06, 0.000000000E+00, 8.405120850E+02
        10,-1.019230783E-01,-3.610000014E-01, 0.000000000E+00, 1.403670000E+06, 0.000000000E+00, 8.410113525E+02
        11,-9.173076600E-02,-3.610000014E-01, 0.000000000E+00, 1.409743875E+06, 0.000000000E+00, 8.415241699E+02
        12,-8.153846115E-02,-3.610000014E-01, 0.000000000E+00, 1.415677875E+06, 0.000000000E+00, 8.420111694E+02
        13,-7.134615630E-02,-3.610000014E-01, 0.000000000E+00, 1.421824250E+06, 0.000000000E+00, 8.424979858E+02
        14,-6.115384772E-02,-3.610000014E-01, 0.000000000E+00, 1.428230125E+06, 0.000000000E+00, 8.429984741E+02
        15,-5.096153915E-02,-3.610000014E-01, 0.000000000E+00, 1.434789125E+06, 0.000000000E+00, 8.435171509E+02
        16,-4.076923057E-02,-3.610000014E-01, 0.000000000E+00, 1.441132875E+06, 0.000000000E+00, 8.440398560E+02
        17,-3.057692386E-02,-3.610000014E-01, 0.000000000E+00, 1.446661125E+06, 0.000000000E+00, 8.445338135E+02
        18,-2.038461529E-02,-3.610000014E-01, 0.000000000E+00, 1.450781250E+06, 0.000000000E+00, 8.449530029E+02
        19,-1.019230764E-02,-3.610000014E-01, 0.000000000E+00, 1.453216125E+06, 0.000000000E+00, 8.452418823E+02
        20, 0.000000000E+00,-3.610000014E-01, 0.000000000E+00, 1.453611750E+06, 0.000000000E+00, 8.454421997E+02
        21, 1.019230764E-02,-3.610000014E-01, 0.000000000E+00, 1.452527375E+06, 0.000000000E+00, 8.455402832E+02
        22, 2.038461529E-02,-3.610000014E-01, 0.000000000E+00, 1.450112375E+06, 0.000000000E+00, 8.454918213E+02
        23, 3.057692386E-02,-3.610000014E-01, 0.000000000E+00, 1.446646750E+06, 0.000000000E+00, 8.452338867E+02
        24, 4.076923057E-02,-3.610000014E-01, 0.000000000E+00, 1.442516000E+06, 0.000000000E+00, 8.448104248E+02
        25, 5.096153915E-02,-3.610000014E-01, 0.000000000E+00, 1.437050625E+06, 0.000000000E+00, 8.442069092E+02
        26, 6.115384772E-02,-3.610000014E-01, 0.000000000E+00, 1.430376875E+06, 0.000000000E+00, 8.434908447E+02
        27, 7.134615630E-02,-3.610000014E-01, 0.000000000E+00, 1.423017000E+06, 0.000000000E+00, 8.427146606E+02
        28, 8.153846115E-02,-3.610000014E-01, 0.000000000E+00, 1.414998625E+06, 0.000000000E+00, 8.418630981E+02
        29, 9.173076600E-02,-3.610000014E-01, 0.000000000E+00, 1.406598125E+06, 0.000000000E+00, 8.409856567E+02
        30, 1.019230783E-01,-3.610000014E-01, 0.000000000E+00, 1.398349375E+06, 0.000000000E+00, 8.401763916E+02
