nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,        pressure,velocity-magnitude,     temperature
         1,-1.975000054E-01,-3.610000014E-01, 0.000000000E+00, 1.350173125E+06, 0.000000000E+00, 8.407680054E+02
         2,-1.866666675E-01,-3.610000014E-01, 0.000000000E+00, 1.344154750E+06, 0.000000000E+00, 8.398800049E+02
         3,-1.758333296E-01,-3.610000014E-01, 0.000000000E+00, 1.341156375E+06, 0.000000000E+00, 8.392410889E+02
         4,-1.650000066E-01,-3.610000014E-01, 0.000000000E+00, 1.341066750E+06, 0.000000000E+00, 8.389262085E+02
         5,-1.540362388E-01,-3.610000014E-01, 0.000000000E+00, 1.343160375E+06, 0.000000000E+00, 8.388804321E+02
         6,-1.431953460E-01,-3.610000014E-01, 0.000000000E+00, 1.346749125E+06, 0.000000000E+00, 8.390484009E+02
         7,-1.324999928E-01,-3.610000014E-01, 0.000000000E+00, 1.351633250E+06, 0.000000000E+00, 8.393668823E+02
         8,-1.223076954E-01,-3.610000014E-01, 0.000000000E+00, 1.357290625E+06, 0.000000000E+00, 8.398114014E+02
         9,-1.121153831E-01,-3.610000014E-01, 0.000000000E+00, 1.363459625E+06, 0.000000000E+00, 8.403441772E+02
        10,-1.019230783E-01,-3.610000014E-01, 0.000000000E+00, 1.369798625E+06, 0.000000000E+00, 8.409191284E+02
        11,-9.173076600E-02,-3.610000014E-01, 0.000000000E+00, 1.376053500E+06, 0.000000000E+00, 8.414957275E+02
        12,-8.153846115E-02,-3.610000014E-01, 0.000000000E+00, 1.382118875E+06, 0.000000000E+00, 8.420510254E+02
        13,-7.134615630E-02,-3.610000014E-01, 0.000000000E+00, 1.387975250E+06, 0.000000000E+00, 8.425721436E+02
        14,-6.115384772E-02,-3.610000014E-01, 0.000000000E+00, 1.393650750E+06, 0.000000000E+00, 8.430545044E+02
        15,-5.096153915E-02,-3.610000014E-01, 0.000000000E+00, 1.399108125E+06, 0.000000000E+00, 8.435002441E+02
        16,-4.076923057E-02,-3.610000014E-01, 0.000000000E+00, 1.404221125E+06, 0.000000000E+00, 8.439110107E+02
        17,-3.057692386E-02,-3.610000014E-01, 0.000000000E+00, 1.408696125E+06, 0.000000000E+00, 8.442813721E+02
        18,-2.038461529E-02,-3.610000014E-01, 0.000000000E+00, 1.412236875E+06, 0.000000000E+00, 8.446049805E+02
        19,-1.019230764E-02,-3.610000014E-01, 0.000000000E+00, 1.414748250E+06, 0.000000000E+00, 8.448764648E+02
        20, 0.000000000E+00,-3.610000014E-01, 0.000000000E+00, 1.416542125E+06, 0.000000000E+00, 8.451250610E+02
        21, 1.019230764E-02,-3.610000014E-01, 0.000000000E+00, 1.417277375E+06, 0.000000000E+00, 8.452844849E+02
        22, 2.038461529E-02,-3.610000014E-01, 0.000000000E+00, 1.417074625E+06, 0.000000000E+00, 8.453894043E+02
        23, 3.057692386E-02,-3.610000014E-01, 0.000000000E+00, 1.416022125E+06, 0.000000000E+00, 8.454050293E+02
        24, 4.076923057E-02,-3.610000014E-01, 0.000000000E+00, 1.414091125E+06, 0.000000000E+00, 8.452554321E+02
        25, 5.096153915E-02,-3.610000014E-01, 0.000000000E+00, 1.410846750E+06, 0.000000000E+00, 8.448995972E+02
        26, 6.115384772E-02,-3.610000014E-01, 0.000000000E+00, 1.405978125E+06, 0.000000000E+00, 8.443276978E+02
        27, 7.134615630E-02,-3.610000014E-01, 0.000000000E+00, 1.399397125E+06, 0.000000000E+00, 8.435437622E+02
        28, 8.153846115E-02,-3.610000014E-01, 0.000000000E+00, 1.391328375E+06, 0.000000000E+00, 8.425765991E+02
        29, 9.173076600E-02,-3.610000014E-01, 0.000000000E+00, 1.382224375E+06, 0.000000000E+00, 8.414921875E+02
        30, 1.019230783E-01,-3.610000014E-01, 0.000000000E+00, 1.372809375E+06, 0.000000000E+00, 8.404043579E+02
        31, 1.121153831E-01,-3.610000014E-01, 0.000000000E+00, 1.363947375E+06, 0.000000000E+00, 8.394453735E+02
        32, 1.223076954E-01,-3.610000014E-01, 0.000000000E+00, 1.356389375E+06, 0.000000000E+00, 8.386914063E+02
        33, 1.324999928E-01,-3.610000014E-01, 0.000000000E+00, 1.350249000E+06, 0.000000000E+00, 8.381876831E+02
        34, 1.433333308E-01,-3.610000014E-01, 0.000000000E+00, 1.345497625E+06, 0.000000000E+00, 8.379014893E+02
        35, 1.541666687E-01,-3.610000014E-01, 0.000000000E+00, 1.342070875E+06, 0.000000000E+00, 8.378377075E+02
        36, 1.650000066E-01,-3.610000014E-01, 0.000000000E+00, 1.339895125E+06, 0.000000000E+00, 8.380250854E+02
        37, 1.758333296E-01,-3.610000014E-01, 0.000000000E+00, 1.339580750E+06, 0.000000000E+00, 8.384124146E+02
        38, 1.866666675E-01,-3.610000014E-01, 0.000000000E+00, 1.341728500E+06, 0.000000000E+00, 8.391329956E+02
