nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,        pressure,velocity-magnitude,     temperature
         1,-1.975000054E-01,-3.610000014E-01, 0.000000000E+00, 1.413404125E+06, 0.000000000E+00, 8.395258179E+02
         2,-1.868297309E-01,-3.610000014E-01, 0.000000000E+00, 1.403032750E+06, 0.000000000E+00, 8.380964355E+02
         3,-1.759292483E-01,-3.610000014E-01, 0.000000000E+00, 1.397343000E+06, 0.000000000E+00, 8.370272217E+02
         4,-1.650000066E-01,-3.610000014E-01, 0.000000000E+00, 1.395685500E+06, 0.000000000E+00, 8.364536133E+02
         5,-1.576412171E-01,-3.610000014E-01, 0.000000000E+00, 1.396752375E+06, 0.000000000E+00, 8.362522583E+02
         6,-1.501062512E-01,-3.610000014E-01, 0.000000000E+00, 1.399398000E+06, 0.000000000E+00, 8.362744751E+02
         7,-1.415658891E-01,-3.610000014E-01, 0.000000000E+00, 1.403481500E+06, 0.000000000E+00, 8.364652100E+02
         8,-1.324999928E-01,-3.610000014E-01, 0.000000000E+00, 1.408811250E+06, 0.000000000E+00, 8.367750854E+02
         9,-1.236964166E-01,-3.610000014E-01, 0.000000000E+00, 1.415358625E+06, 0.000000000E+00, 8.372108154E+02
        10,-1.143846288E-01,-3.610000014E-01, 0.000000000E+00, 1.423930125E+06, 0.000000000E+00, 8.378413696E+02
        11,-1.048940718E-01,-3.610000014E-01, 0.000000000E+00, 1.433991500E+06, 0.000000000E+00, 8.386630859E+02
        12,-9.536163509E-02,-3.610000014E-01, 0.000000000E+00, 1.445305625E+06, 0.000000000E+00, 8.396737061E+02
        13,-8.582408726E-02,-3.610000014E-01, 0.000000000E+00, 1.457037750E+06, 0.000000000E+00, 8.408189087E+02
        14,-7.628653198E-02,-3.610000014E-01, 0.000000000E+00, 1.467589500E+06, 0.000000000E+00, 8.419867554E+02
        15,-6.674897671E-02,-3.610000014E-01, 0.000000000E+00, 1.475967875E+06, 0.000000000E+00, 8.430823975E+02
        16,-5.721142888E-02,-3.610000014E-01, 0.000000000E+00, 1.481637000E+06, 0.000000000E+00, 8.439803467E+02
        17,-4.767387733E-02,-3.610000014E-01, 0.000000000E+00, 1.484999125E+06, 0.000000000E+00, 8.446221313E+02
        18,-3.813632578E-02,-3.610000014E-01, 0.000000000E+00, 1.487079250E+06, 0.000000000E+00, 8.450163574E+02
        19,-2.859877236E-02,-3.610000014E-01, 0.000000000E+00, 1.488560875E+06, 0.000000000E+00, 8.452127686E+02
        20,-1.906122081E-02,-3.610000014E-01, 0.000000000E+00, 1.489220000E+06, 0.000000000E+00, 8.453007813E+02
        21,-9.524660185E-03,-3.610000014E-01, 0.000000000E+00, 1.488791625E+06, 0.000000000E+00, 8.453565063E+02
